학년	교과과정	교과영역구분	학수강좌번호	교과목명	교원명	수업캠퍼스	요일/시간	강의실	학점	이론	실습	공학설계	강의계획서	교과목해설	강의유형	강의종류	원어강의	강평결과	이수구분	강의미리보기	개설대학	개설학과/전공	비고	교과목영문명
1,2학년	일반교양	자기개발	DEV1032-01	대학생의 자기주도적 학습전략	하오선	서울	화1.0-2.5/09:00-11:00	408-321(정보문화관Q Q301 강의실)	2	2	0				이론				일교		행정및부속기관	교수학습개발센터	P/F, 1-2학년대상	Self-directed Learning Strategies for Students
전체학년	일반교양	문화예술체육	EGC7009-01	댄스스포츠	김현진	서울	수6.0-7.5/14:00-16:00	502-B131(체육관 B105 운동기능학습장4(전문무용))	1	0	2				실습				일교		사범대학	체육교육과		Dance Sports
전체학년	일반교양	인문	EGC2064-01	동아시아의문명과역사	김장구	서울	수8.0-9.0/16:00-17:30,금4.0-5.0/12:00-13:30	201-214(사회과학/경영관 M211 강의실),201-214(사회과학/경영관 M211 강의실)	3	3	0				이론				일교		문과대학	사학과		Culture and history of East Asia
전체학년	일반교양	인문	EGC2062-01	동양고전의현대적이해	오태석	서울	화3.0-4.0/11:00-12:30,목3.0-4.0/11:00-12:30	408-329(정보문화관Q Q302 강의실),408-329(정보문화관Q Q302 강의실)	3	3	0				이론				일교		문과대학	중어중문학과		A contemporary understanding of the East-Asian Classics
전체학년	일반교양	인문	EGC2046-01	만해와님의침묵	전한성	서울	화8.0-9.5/16:00-18:00	501-109(학림관 J111 강의실)	2	2	0				이론				일교		불교대학	불교학부		Manhae Hanyong-wun and Lover's Silence
전체학년	일반교양	인문	EGC2047-01	만해와불교의민족운동	김광식	서울	수6.0-7.5/14:00-16:00	501-109(학림관 J111 강의실)	2	2	0				이론				일교		불교대학	불교학부		Manhae Hanyong-wun and National Movement of buddhism
전체학년	일반교양	인문	EGC2075-01	만해의생애와사상	김광식	서울	목8.0-9.5/16:00-18:00	501-109(학림관 J111 강의실)	2	2	0				이론				일교		불교대학	불교학부		Manhae‘s life and idea
전체학년	일반교양	사회	EGC3002-01	매스컴과사회	이영수	서울	월4.0-5.0/12:00-13:30,수1.0-2.0/09:00-10:30	102-342(학술/문화관 K308 강의실),102-342(학술/문화관 K308 강의실)	3	3	0				이론				일교		사회과학대학	신문방송학전공		Mass Communication & Society
전체학년	일반교양	자연	EGC4013-01	문명으로본기술과학사의이해	변기홍	서울	화3.0-4.0/11:00-12:30,목3.0-4.0/11:00-12:30	207-512(혜화관 512 512 강의실),207-512(혜화관 512 512 강의실)	3	3	0				이론				일교		공과대학	기계로봇에너지공학과		Understanding Historty ofTechnology and Science in Civilization
	일반교양	인문	EGC2058-01	문학과예술로읽는사랑의문화사	김은석	서울	화3.0-4.0/11:00-12:30,목3.0-4.0/11:00-12:30	501-250(학림관 J211 강의실),501-250(학림관 J211 강의실)	3	3	0				이론				일교		문과대학	국어국문문예창작학부		Culture of Love in Literature and art
전체학년	일반교양	문화예술체육	EGC7012-01	배드민턴	송은숙	서울	금4.0-5.5/12:00-14:00	502-243(체육관 113 경기장)	1	0	2				실습				일교		사범대학	체육교육과		Badminton
전체학년	일반교양	사회	EGC3029-01	법여성학	박선영	서울	화3.0-4.0/11:00-12:30,목3.0-4.0/11:00-12:30	202-356(사회과학/경영관 L309 강의실),202-356(사회과학/경영관 L309 강의실)	3	3	0				이론				일교		법과대학	법학과		Feminist Jurisprudence
